Store ID,Agent,Tenure,Payemnt Info [ System Rentals ] [ FoodHub ],Payemnt Info [ System Rentals ] [ Datman ],Mandate,System Type,Subscribed Tech,Gpin Status,Competitor Name,Number of Google Reviews,Any visible issue with the page?,Google Rating,Google page issue,Food Delivery platforms,Other POS Providers,Others,Avverage Online,Offline Online
830115,Hossam,4.1,6,17,Active,APOS,PDQ,Unverified,OrderYoYo,796,No,4,,Just Eat,Order YOYO,,21,0
796779,Kareem,7.3,12,20,Deactivated,EPOS,None,Unverified,,148,Yes,4.3,This site can’t be reached,None visible,None,,21,0
797859,Kareem,7,12,18,Active,EPOS,"PDQ, APP, Third party integration",Verified,,100,No,3.4,,"Just Eat, Uber Eats, Deliveroo",None,,21,89
838124,Hossam,4.5,7,18,Active,APOS,PDQ,Verified,,176,No,3.1,,"Just Eat, Deliveroo",None,,21,10
807584,Kareem,5.1,2,5,Active,APOS,APP,Unverified,choogoo,144,No,4.2,,Just Eat,Others,choogoo,21,28
807681,Kareem,5.11,6,12,Active,APOS,None,Unverified,unknwon,129,No,4.4,,Uber Eats,None,,21,0
856939,Hossam,3.7,12,23,Active,EPOS,None,Unverified,FMO / ActionPrompt,67,No,3.7,,"Just Eat, Uber Eats, Deliveroo",Action prompt / Feed Me Online,,21,63
863195,Hossam,3.2,7,18,Active,APOS,APP,Unverified,FMO / ActionPrompt,105,No,4.1,,"Just Eat, Uber Eats",Action prompt / Feed Me Online,,21,0
810815,Kareem,5.7,0,0,Active,EPOS,"PDQ, APP",Verified,,92,No,4,,Just Eat,None,,21,0
813522,Kareem,5.5,0,0,Active,APOS,APP,Unverified,gurbdirect ltd,228,No,4.3,,None visible,None,,21,0
811036,Ibrahim,5.7,7,18,Active,EPOS,PDQ,Verified,,290,No,4.4,,"Just Eat, Uber Eats, Deliveroo",None,,21,0
875156,Hossam,1.5,12,23,Active,EPOS,"APP, Third party integration",Verified,,233,No,4.7,,"Just Eat, Uber Eats",None,,21,41
821217,Kareem,5.1,6,12,Active,APOS,None,Verified,,58,No,3.2,,Just Eat,None,,21,0
826310,Kareem,4.11,12,17,Active,EPOS,APP,Verified,,45,No,3.5,,"Just Eat, Uber Eats",None,,21,4
838981,Kareem,4.5,1,0,Active,EPOS,None,Verified,,78,No,4.1,,"Just Eat, Uber Eats",None,,21,0
861041,Kareem,3.4,7,13,Active,APOS,None,Verified,,84,Yes,4.2,,"Uber Eats, Other",None,,21,0
838295,Ibrahim,4.5,1,0,Deactivated,APOS,None,Verified,,236,No,4,,Deliveroo,Others,#,21,0
838854,Ibrahim,4.5,0,0,Active,APOS,PDQ,Verified,,428,No,4.6,,None visible,None,,21,47
869909,Kareem,2.3,7,18,Active,APOS,None,Verified,,37,No,3.9,,Just Eat,None,,21,0
848475,Ibrahim,4.2,0,0,Deactivated,APOS,None,Verified,,47,No,3.6,,Just Eat,None,,21,0
867132,Ibrahim,2.8,12,23,Active,APOS,None,Unverified,unknown,317,No,4.6,,Just Eat,Others,unknown,21,0
2351,Hossam,11.1,12,23,Active,EPOS,None,Verified,,131,No,4.3,,Just Eat,None,,22,51
794005,Ibrahim,7.1,12,23,Active,EPOS,None,Unverified,Ordara,149,No,3.5,,"Just Eat, Uber Eats",Others,Ordara,22,0
794619,Ibrahim,7.7,5,23,Active,EPOS,APP,Verified,,200,No,3.5,,"Just Eat, Deliveroo",None,,22,0
9255,Kareem,8.9,7,18,Active,EPOS,"PDQ, APP",Unverified,Eatzy,186,No,3.1,,Deliveroo,Others,Eatzy,22,0
